gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,18,Fiber optic,Month-to-month,85.96145334385253,1546.6424671550744,Yes
Female,0,No,Yes,7,DSL,One year,52.60884053882924,390.30114567525703,Yes
Male,0,Yes,Yes,62,DSL,Two year,44.366669835122266,2754.972203744548,No
Male,1,Yes,No,45,Fiber optic,Two year,106.47896276422954,4799.155682568776,No
Male,0,No,No,16,No,Month-to-month,18.40427231717682,331.4799812336038,No
Female,0,No,No,64,Fiber optic,One year,72.62545830395304,4635.733421567848,No
Male,1,Yes,No,37,DSL,Month-to-month,71.01787480220256,2588.4595658349176,No
Male,0,Yes,No,25,DSL,One year,76.18652678927717,1900.4376522815987,No
Male,0,No,Yes,9,DSL,Month-to-month,70.56493391860533,620.9905589388695,Yes
Female,1,No,No,55,Fiber optic,Month-to-month,111.26761064159882,6084.171545358488,No
Male,0,No,Yes,28,DSL,Month-to-month,63.82486711323085,1802.6430309827388,No
Male,1,No,No,9,DSL,Month-to-month,75.50985351659013,679.6095289419669,No
Male,0,Yes,Yes,12,Fiber optic,One year,94.83517411789276,1092.4926971079108,Yes
Male,0,Yes,Yes,18,Fiber optic,Two year,119.41613092437325,2188.14485154678,No
Female,0,No,No,56,Fiber optic,Month-to-month,75.17075213847245,4191.364556320676,Yes
Male,1,No,No,58,Fiber optic,Month-to-month,110.45903533506919,6391.226984852232,No
Female,0,Yes,Yes,51,Fiber optic,Month-to-month,102.06947080056376,5229.082401410254,Yes
Female,0,Yes,No,32,DSL,One year,63.22584272884781,2033.9319168312684,No
Female,0,No,No,48,Fiber optic,Month-to-month,106.29052654305607,5129.242140693332,No
Male,0,Yes,No,8,DSL,Month-to-month,73.61166123195395,534.3933242281432,Yes
Female,0,Yes,Yes,30,DSL,Month-to-month,74.51536267362039,2228.3100519443738,No
Male,0,Yes,No,26,Fiber optic,Two year,78.76904814719924,2051.3419866204754,No
Female,0,No,No,24,Fiber optic,Month-to-month,79.85179648764846,1948.9816415383143,Yes
Female,0,No,No,27,Fiber optic,Month-to-month,,1890.7082296183044,No
Female,0,Yes,Yes,39,Fiber optic,One year,76.59212288961363,2978.5770609818105,Yes
Female,0,No,No,66,Fiber optic,Month-to-month,83.19412464249623,5494.332114659928,No
Female,0,No,No,51,Fiber optic,Month-to-month,106.05179112751415,5427.676213942343,No
Female,1,Yes,Yes,50,Fiber optic,Month-to-month,,4661.686681399721,No
Female,0,No,No,45,Fiber optic,Two year,107.89517677920087,4875.574183974739,No
Female,1,Yes,Yes,33,DSL,Month-to-month,59.46143391279563,1947.4751004471452,No
Male,0,Yes,Yes,19,DSL,Month-to-month,62.22389811639873,1191.6378092248335,No
